T,p,phi,tau_e,tign
900,1,0.575,6.24E-03,6.76E-02
900,1,0.65,5.82E-03,6.19E-02
900,1,0.725,5.48E-03,5.74E-02
900,1,0.8,5.21E-03,5.37E-02
900,1,0.875,4.98E-03,5.06E-02
900,1,0.95,4.78E-03,4.80E-02
900,1,1.025,4.61E-03,4.58E-02
900,1,1.1,4.46E-03,4.39E-02
900,1,1.175,4.34E-03,4.22E-02
900,1,1.25,4.22E-03,4.08E-02
900,1,1.325,4.12E-03,3.95E-02
900,1,1.4,4.03E-03,3.83E-02
900,1,1.475,3.95E-03,3.73E-02
900,1,1.55,3.88E-03,3.64E-02
900,1,1.625,3.81E-03,3.55E-02
900,1,1.7,3.75E-03,3.48E-02
900,1,1.775,3.69E-03,3.41E-02
900,1,1.85,3.64E-03,3.34E-02
900,1,1.925,3.59E-03,3.29E-02
900,1,2,3.55E-03,3.23E-02
900,1.5,0.575,9.29E-03,1.65E-01
900,1.5,0.65,8.64E-03,1.53E-01
900,1.5,0.725,8.11E-03,1.43E-01
900,1.5,0.8,7.67E-03,1.35E-01
900,1.5,0.875,7.30E-03,1.28E-01
900,1.5,0.95,6.98E-03,1.22E-01
900,1.5,1.025,6.71E-03,1.17E-01
900,1.5,1.1,6.47E-03,1.12E-01
900,1.5,1.175,6.26E-03,1.08E-01
900,1.5,1.25,6.07E-03,1.04E-01
900,1.5,1.325,5.91E-03,1.01E-01
900,1.5,1.4,5.76E-03,9.80E-02
900,1.5,1.475,5.62E-03,9.53E-02
900,1.5,1.55,5.50E-03,9.28E-02
900,1.5,1.625,5.39E-03,9.06E-02
900,1.5,1.7,5.29E-03,8.85E-02
900,1.5,1.775,5.19E-03,8.65E-02
900,1.5,1.85,5.10E-03,8.47E-02
900,1.5,1.925,5.02E-03,8.31E-02
900,1.5,2,4.95E-03,8.15E-02
900,2,0.575,9.36E-03,1.86E-01
900,2,0.65,8.72E-03,1.73E-01
900,2,0.725,8.19E-03,1.63E-01
900,2,0.8,7.75E-03,1.54E-01
900,2,0.875,7.38E-03,1.46E-01
900,2,0.95,7.06E-03,1.39E-01
900,2,1.025,6.79E-03,1.34E-01
900,2,1.1,6.55E-03,1.29E-01
900,2,1.175,6.34E-03,1.24E-01
900,2,1.25,6.15E-03,1.20E-01
900,2,1.325,5.98E-03,1.16E-01
900,2,1.4,5.83E-03,1.13E-01
900,2,1.475,5.69E-03,1.10E-01
900,2,1.55,5.56E-03,1.07E-01
900,2,1.625,5.45E-03,1.05E-01
900,2,1.7,5.34E-03,1.03E-01
900,2,1.775,5.25E-03,1.01E-01
900,2,1.85,5.16E-03,9.86E-02
900,2,1.925,5.07E-03,9.68E-02
900,2,2,5.00E-03,9.51E-02
900,2.5,0.575,8.81E-03,1.86E-01
900,2.5,0.65,8.21E-03,1.73E-01
900,2.5,0.725,7.72E-03,1.62E-01
900,2.5,0.8,7.31E-03,1.53E-01
900,2.5,0.875,6.97E-03,1.46E-01
900,2.5,0.95,6.67E-03,1.39E-01
900,2.5,1.025,6.42E-03,1.34E-01
900,2.5,1.1,6.19E-03,1.29E-01
